지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),평균 풍속(m/s),최대 순간 풍속 풍향(deg),최대 순간풍속 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),최대 순간 풍속 풍향(hhmi)
725,2019-11-11,16.7,14.9,2355.0,18.6,1315.0,0.0,16.7,10.2,267.9,548.0,,,
725,2019-12-21,9.6,7.2,431.0,12.0,2354.0,0.0,11.2,5.5,28.3,1935.0,,,
725,2010-02-12,5.1,4.2,2332.0,6.6,6.0,4.0,14.4,6.9,,1702.0,1.5,400.0,341.6
725,2013-08-01,28.9,25.8,606.0,34.5,1253.0,0.0,8.1,2.8,,1150.0,0.0,,206.2
725,2014-11-20,12.7,9.4,658.0,16.3,1327.0,0.0,4.2,1.5,,1252.0,0.0,,60.6
725,2011-02-16,7.5,3.4,1.0,10.2,2206.0,22.5,10.5,3.1,,1747.0,4.5,2200.0,148.2
725,2017-12-19,6.1,2.9,2034.0,9.9,400.0,0.0,9.2,5.4,341.9,,,,
725,2017-10-02,22.5,21.3,1750.0,25.3,1434.0,84.5,8.2,3.7,220.6,,,,
725,2018-04-10,17.2,12.5,227.0,20.9,1408.0,0.0,9.0,4.1,202.8,1301.0,,,
725,2018-04-28,16.1,12.5,500.0,21.2,1415.0,0.0,5.0,1.5,190.1,1314.0,,,
725,2021-07-05,26.0,23.4,1.0,28.5,1123.0,5.5,13.6,5.5,178.9,2047.0,,,
725,2015-04-08,11.1,8.3,450.0,15.2,1316.0,9.0,9.4,4.2,333.3,57.0,3.0,400.0,
725,2012-01-02,4.3,2.6,245.0,6.2,1330.0,0.0,14.1,6.2,,1.0,0.0,,324.5
725,2016-08-31,25.4,21.9,507.0,29.4,1523.0,0.0,9.4,4.5,296.8,,,,
725,2019-08-12,28.2,26.7,2257.0,30.8,1358.0,0.0,8.9,4.0,137.5,47.0,,,
725,2015-11-23,16.9,15.3,2357.0,18.9,917.0,7.5,9.8,4.2,91.3,46.0,3.5,1300.0,
725,2012-08-15,28.2,25.5,319.0,30.9,1339.0,0.0,10.2,3.9,,1412.0,0.0,,211.3
725,2012-02-01,2.0,-1.9,2313.0,7.8,318.0,0.0,17.3,8.6,,1815.0,0.0,,346.8
725,2016-05-29,17.1,16.1,645.0,18.3,1816.0,15.5,5.9,2.3,299.8,,,,
725,2020-04-01,11.4,0.0,412.0,13.9,1259.0,3.0,17.7,11.2,284.9,1656.0,,,
725,2010-06-29,21.0,19.6,504.0,23.0,1452.0,3.0,6.8,2.2,,1148.0,1.0,1400.0,184.4
725,2010-01-19,12.3,7.3,241.0,15.4,1520.0,0.0,14.7,5.1,,2351.0,0.0,,192.1
725,2014-05-06,14.2,10.8,311.0,18.1,1452.0,0.0,7.8,3.6,,925.0,0.0,,336.6
